iter	Passed	Remaining
0	124	124692
1	126	62995
2	127	42383
3	128	32047
4	129	25866
5	131	21766
6	133	18966
7	134	16717
8	135	14943
9	136	13520
10	137	12354
11	138	11388
12	139	10572
13	140	9861
14	140	9243
15	141	8700
16	142	8224
17	142	7797
18	143	7416
19	144	7065
20	144	6747
21	145	6464
22	146	6225
23	147	5993
24	147	5768
25	148	5560
26	148	5367
27	149	5188
28	149	5021
29	150	4865
30	150	4719
31	151	4581
32	151	4453
33	152	4331
34	152	4217
35	153	4109
36	153	4007
37	154	3911
38	154	3818
39	155	3731
40	155	3648
41	156	3569
42	157	3494
43	157	3422
44	158	3353
45	158	3287
46	158	3223
47	159	3166
48	160	3109
49	160	3053
50	161	2999
51	161	2947
52	162	2898
53	162	2850
54	163	2804
55	163	2759
56	164	2716
57	164	2674
58	165	2634
59	165	2595
60	166	2557
61	166	2521
62	167	2486
63	167	2451
64	168	2418
65	168	2386
66	169	2355
67	169	2325
68	170	2295
69	170	2266
70	171	2238
71	171	2212
72	172	2185
73	172	2159
74	173	2134
75	173	2110
76	174	2087
77	174	2064
78	175	2046
79	176	2028
80	176	2007
81	177	1986
82	177	1962
83	178	1942
84	178	1923
85	179	1904
86	179	1885
87	180	1867
88	180	1849
89	181	1831
90	181	1814
91	182	1797
92	182	1780
93	183	1764
94	183	1749
95	184	1733
96	184	1718
97	185	1703
98	185	1689
99	186	1674
100	186	1660
101	187	1646
102	187	1633
103	188	1620
104	188	1607
105	189	1595
106	189	1583
107	191	1578
108	191	1568
109	192	1556
110	192	1544
111	193	1533
112	193	1521
113	194	1510
114	194	1499
115	195	1488
116	195	1477
117	196	1466
118	196	1456
119	197	1446
120	197	1436
121	198	1425
122	198	1415
123	199	1406
124	199	1396
125	200	1387
126	200	1378
127	200	1369
128	201	1360
129	202	1351
130	202	1343
131	203	1335
132	203	1327
133	204	1319
134	205	1313
135	206	1309
136	206	1301
137	207	1294
138	207	1286
139	208	1278
140	208	1271
141	208	1262
142	209	1255
143	210	1248
144	210	1241
145	211	1234
146	211	1227
147	212	1220
148	212	1214
149	213	1207
150	213	1200
151	214	1194
152	214	1187
153	215	1181
154	215	1175
155	216	1169
156	216	1162
157	217	1156
158	217	1150
159	218	1145
160	218	1138
161	219	1134
162	219	1128
163	220	1123
164	220	1117
165	221	1111
166	221	1106
167	222	1100
168	222	1095
169	223	1090
170	223	1085
171	224	1079
172	224	1074
173	225	1069
174	225	1064
175	226	1059
176	226	1054
177	227	1049
178	227	1044
179	228	1040
180	228	1035
181	229	1031
182	229	1026
183	230	1021
184	230	1017
185	231	1012
186	231	1008
187	232	1003
188	232	999
189	233	995
190	233	990
191	234	986
192	235	986
193	236	981
194	236	978
195	237	974
196	237	969
197	238	965
198	238	961
199	239	957
200	239	953
201	240	949
202	240	945
203	241	942
204	241	938
205	242	934
206	242	930
207	243	926
208	243	922
209	244	919
210	244	915
211	245	912
212	245	908
213	246	905
214	246	901
215	247	898
